"alg" "metric" "reduceTime" "priorTime" "CE" "RFFS" "RFFT" "origExecTime" "redExecTime" "totalSize" "redSize" "app"
"2OPT" "time" 3 13 0.92827496671391 0.0196078431372549 0.724959393611261 7388 2032 51 50 "GB"
"2OPT" "coverage" 5 10 0.9253264612225 0.411764705882353 0.818489442338928 7388 1341 51 30 "GB"
"2OPT" "ratio" 8 11 0.95932624474286 0.254901960784314 0.808608554412561 7388 1414 51 38 "GB"
"DGR" "time" 1 103 0.923089520669292 0.411764705882353 0.82079047103411 7388 1324 51 30 "GB"
"DGR" "coverage" 1 5 0.923089520669292 0.411764705882353 0.82079047103411 7388 1324 51 30 "GB"
"DGR" "ratio" 1 3 0.923089520669292 0.411764705882353 0.82079047103411 7388 1324 51 30 "GB"
"GRD" "time" 0 1 0.927733944485765 0.0196078431372549 0.724959393611261 7388 2032 51 50 "GB"
"GRD" "coverage" 1 1 0.923122447190601 0.411764705882353 0.818489442338928 7388 1341 51 30 "GB"
"GRD" "ratio" 1 2 0.960071306220602 0.392156862745098 0.814428803465079 7388 1371 51 31 "GB"
"HGS" "time" 0 1 0.93371244362271 0.411764705882353 0.820925825663238 7388 1323 51 30 "GB"
"HGS" "coverage" 0 1 0.933526015400443 0.411764705882353 0.818489442338928 7388 1341 51 30 "GB"
"HGS" "ratio" 0 0 0.93371244362271 0.411764705882353 0.820925825663238 7388 1323 51 30 "GB"
