alg	metric	app	order
GRD	coverage	GB	36,31,19,40,38,50,6,8,9,11,22,25,26,28,32,44,45,23,1,2,3,4,12,16,20,24,30,33,34,47
GRD	time	GB	7,6,28,32,46,5,18,11,17,25,37,8,14,16,22,21,26,9,34,50,3,48,33,1,35,30,24,12,13,15,43,20,42,0,19,38,39,49,47,31,45,23,44,41,4,29,27,40,2,36
GRD	ratio	GB	6,28,32,11,25,8,22,26,50,9,20,19,16,45,49,34,3,48,1,30,0,44,24,12,38,40,31,47,36,4,2
2OPT	coverage	GB	40,45,19,36,38,50,6,8,9,11,22,25,26,28,32,44,23,31,1,2,3,4,12,16,20,24,30,33,34,47
2OPT	time	GB	6,7,28,32,5,46,11,18,17,25,8,37,14,16,21,22,9,26,34,50,3,48,1,33,30,35,12,24,13,15,20,43,0,42,19,38,39,49,31,47,23,45,41,44,4,29,27,40,2,36
2OPT	ratio	GB	6,28,11,32,8,25,22,26,9,50,7,20,16,19,34,45,3,49,1,48,0,30,24,44,12,38,40,46,5,31,18,47,17,36,4,37,2,14
HGS	coverage	GB	40,11,44,32,8,25,26,22,31,38,6,24,45,9,28,19,50,4,36,47,20,12,33,16,2,23,30,3,1,34
HGS	time	GB	40,11,44,32,8,25,26,22,31,38,6,24,45,9,28,19,50,4,36,47,20,12,48,16,2,49,30,3,1,34
HGS	ratio	GB	40,11,44,32,8,25,26,22,31,38,6,24,45,9,28,19,50,4,36,47,20,12,48,16,2,49,30,3,1,34
DGR	coverage	GB	40,11,44,32,8,28,12,36,25,26,22,31,38,33,6,16,24,45,9,19,2,49,30,3,1,50,4,47,34,20
DGR	time	GB	40,11,44,32,8,28,12,36,25,26,22,31,38,33,6,16,24,45,9,19,2,49,30,3,1,50,4,47,34,20
DGR	ratio	GB	40,11,44,32,8,28,12,36,25,26,22,31,38,33,6,16,24,45,9,19,2,49,30,3,1,50,4,47,34,20
