alg	metric	app	redSet
GRD	coverage	data/raise/reduce/setCovers/JDCoverage.dat	29 22 15 7 10 57 17 5 45 12 20 33 46 4 18 34 40 42 55 16 30 38 49
GRD	time	data/raise/reduce/setCovers/JDCoverage.dat	16 30 32 33 42 44 49 51 55 2 5 6 12 27 31 37 45 1 19 46 54 18 38 50 57 7 35 36 24 47 34 56 15 40 20 43 10 4 39 28 3 8 17 29 23 22
GRD	ratio	data/raise/reduce/setCovers/JDCoverage.dat	16 30 32 33 42 44 49 55 38 46 56 45 7 12 57 10 18 15 39 29 20 22 34 4 17
2OPT	coverage	data/raise/reduce/setCovers/JDCoverage.dat	22 29 7 15 10 57 5 17 12 45 20 33 4 46 18 34 40 42 16 55 30 38 1 49
2OPT	time	data/raise/reduce/setCovers/JDCoverage.dat	16 30 32 33 42 44 49 51 2 55 5 6 12 27 31 37 1 45 19 46 18 54 38 50 7 57 35 36 24 47 34 56 15 40 20 43 4 10 28 39 3 8 17 29 22 23
2OPT	ratio	data/raise/reduce/setCovers/JDCoverage.dat	16 30 32 33 42 44 49 51 38 55 45 56 12 46 2 7 5 57 10 18 15 39 6 29 20 27 22 34 4 31 17 37
HGS	coverage	data/raise/reduce/setCovers/JDCoverage.dat	4 7 10 12 17 20 22 29 30 34 42 45 46 49 55 15 16 18 57 38 40 27 5
HGS	time	data/raise/reduce/setCovers/JDCoverage.dat	4 7 10 12 17 20 22 29 30 34 42 45 46 49 55 15 16 18 57 38 56 32 44
HGS	ratio	data/raise/reduce/setCovers/JDCoverage.dat	4 7 10 12 17 20 22 29 30 34 42 45 46 49 55 15 16 18 57 38 56 33 44
DGR	coverage	data/raise/reduce/setCovers/JDCoverage.dat	4 5 7 17 10 12 15 16 18 20 22 57 29 30 34 47 56 42 45 46 49 55 32
DGR	time	data/raise/reduce/setCovers/JDCoverage.dat	4 5 7 17 10 12 15 16 18 20 22 57 29 30 34 47 56 42 45 46 49 55 32
DGR	ratio	data/raise/reduce/setCovers/JDCoverage.dat	4 5 7 17 10 12 15 16 18 20 22 57 29 30 34 47 56 42 45 46 49 55 32
