alg	metric	app	redSet
GRD	coverage	data/raise/reduce/setCovers/LFCoverage.dat	1
GRD	time	data/raise/reduce/setCovers/LFCoverage.dat	1
GRD	ratio	data/raise/reduce/setCovers/LFCoverage.dat	1
2OPT	coverage	data/raise/reduce/setCovers/LFCoverage.dat	1 2
2OPT	time	data/raise/reduce/setCovers/LFCoverage.dat	1 3
2OPT	ratio	data/raise/reduce/setCovers/LFCoverage.dat	1 3
HGS	coverage	data/raise/reduce/setCovers/LFCoverage.dat	1
HGS	time	data/raise/reduce/setCovers/LFCoverage.dat	1
HGS	ratio	data/raise/reduce/setCovers/LFCoverage.dat	1
DGR	coverage	data/raise/reduce/setCovers/LFCoverage.dat	1
DGR	time	data/raise/reduce/setCovers/LFCoverage.dat	1
DGR	ratio	data/raise/reduce/setCovers/LFCoverage.dat	1
