alg	metric	app	redSet
GRD	coverage	data/raise/reduce/setCovers/RMCoverage.dat	10 16 8 1 6 11 15
GRD	time	data/raise/reduce/setCovers/RMCoverage.dat	6 8 11 13 16 2 9 10 5 14 15 4 1
GRD	ratio	data/raise/reduce/setCovers/RMCoverage.dat	10 6 16 8 11 15 1
2OPT	coverage	data/raise/reduce/setCovers/RMCoverage.dat	10 16 1 8 6 11 2 15
2OPT	time	data/raise/reduce/setCovers/RMCoverage.dat	6 8 11 13 2 16 9 10 5 14 4 15 1
2OPT	ratio	data/raise/reduce/setCovers/RMCoverage.dat	6 10 8 16 11 13 2 15 1 9
HGS	coverage	data/raise/reduce/setCovers/RMCoverage.dat	1 6 11 15 16 5 8
HGS	time	data/raise/reduce/setCovers/RMCoverage.dat	1 6 11 15 16 10 8
HGS	ratio	data/raise/reduce/setCovers/RMCoverage.dat	1 6 11 15 16 10 8
DGR	coverage	data/raise/reduce/setCovers/RMCoverage.dat	1 10 6 8 11 15 16
DGR	time	data/raise/reduce/setCovers/RMCoverage.dat	1 10 6 8 11 15 16
DGR	ratio	data/raise/reduce/setCovers/RMCoverage.dat	1 10 6 8 11 15 16
