alg	metric	app	redSet
GRD	coverage	data/raise/reduce/setCovers/RPCoverage.dat	29 61 63 43 44 20 50 74 14 69 8 16 18 19 58 72 79
GRD	time	data/raise/reduce/setCovers/RPCoverage.dat	11 16 22 23 24 30 39 55 58 71 78 3 8 10 12 13 14 17 21 25 27 33 36 37 44 45 51 54 62 65 66 73 77 9 15 35 53 56 69 4 18 28 31 40 41 57 74 29 67 48 61 5 43 49 79 46 72 38 59 2 68 50 63 19 60 20
GRD	ratio	data/raise/reduce/setCovers/RPCoverage.dat	11 16 22 23 39 58 14 57 44 45 61 25 37 74 69 72 29 5 79 63 50 19 20
2OPT	coverage	data/raise/reduce/setCovers/RPCoverage.dat	29 61 43 63 20 44 50 74 14 69 8 16 18 19 58 72 2 79
2OPT	time	data/raise/reduce/setCovers/RPCoverage.dat	11 16 22 23 24 30 39 55 58 71 3 78 8 10 12 13 14 17 21 25 27 33 36 37 44 45 51 54 62 65 66 73 9 77 15 35 53 56 4 69 18 28 31 40 41 57 29 74 48 67 5 61 43 49 46 79 38 72 2 59 50 68 19 63 20 60
2OPT	ratio	data/raise/reduce/setCovers/RPCoverage.dat	11 16 22 23 24 39 30 58 14 55 57 71 44 45 61 78 25 37 69 74 3 72 8 29 5 79 10 63 12 50 13 19 17 20
HGS	coverage	data/raise/reduce/setCovers/RPCoverage.dat	19 20 29 50 58 63 69 72 74 79 18 44 8 14 16 43
HGS	time	data/raise/reduce/setCovers/RPCoverage.dat	19 20 29 50 58 63 69 72 74 79 37 44 39 14 16 57
HGS	ratio	data/raise/reduce/setCovers/RPCoverage.dat	19 20 29 50 58 63 69 72 74 79 37 44 8 14 16 57
DGR	coverage	data/raise/reduce/setCovers/RPCoverage.dat	44 10 14 16 19 20 29 43 50 58 63 69 72 74 79 18
DGR	time	data/raise/reduce/setCovers/RPCoverage.dat	44 10 14 16 19 20 29 43 50 58 63 69 72 74 79 18
DGR	ratio	data/raise/reduce/setCovers/RPCoverage.dat	44 10 14 16 19 20 29 43 50 58 63 69 72 74 79 18
