alg	metric	app	order
GRD	coverage	SK	24,9,12,3,1,18,19,8,0,2
GRD	time	SK	1,2,3,4,5,6,7,8,10,15,16,18,11,13,19,23,9,12,21,14,20,22,0,17,24
GRD	ratio	SK	2,16,3,1,18,8,9,19,4,24
2OPT	coverage	SK	9,24,3,12,1,18,8,19,0,2
2OPT	time	SK	1,2,3,4,5,6,7,8,10,15,16,18,11,13,19,23,9,12,14,21,20,22,0,17,24
2OPT	ratio	SK	2,16,1,3,8,18,9,19,4,5,6,24
HGS	coverage	SK	24,19,8,3,18,2,9,12,1,0
HGS	time	SK	24,19,8,3,18,2,9,16,1,4
HGS	ratio	SK	24,19,8,3,18,2,9,16,1,4
DGR	coverage	SK	9,24,12,19,8,3,18,1,2,0
DGR	time	SK	9,24,12,19,8,3,18,1,2,0
DGR	ratio	SK	9,24,12,19,8,3,18,1,2,0
