alg	metric	app	redSet
GRD	coverage	data/raise/reduce/setCovers/TMCoverage.dat	7 8 12 3 19 1 5 9 10 15 18 22 27
GRD	time	data/raise/reduce/setCovers/TMCoverage.dat	2 27 6 13 3 9 18 22 4 12 14 16 24 5 7 26 20 19 11 1 17 25 21 8 23 10 15
GRD	ratio	data/raise/reduce/setCovers/TMCoverage.dat	2 13 12 3 27 24 9 18 22 4 17 16 5 15
2OPT	coverage	data/raise/reduce/setCovers/TMCoverage.dat	7 8 3 12 1 19 5 9 10 15 18 22 2 27
2OPT	time	data/raise/reduce/setCovers/TMCoverage.dat	2 27 6 13 3 9 18 22 4 12 14 16 5 24 7 26 19 20 1 11 17 25 8 21 10 23 15
2OPT	ratio	data/raise/reduce/setCovers/TMCoverage.dat	2 13 3 12 9 27 18 24 4 22 16 17 5 6 14 15
HGS	coverage	data/raise/reduce/setCovers/TMCoverage.dat	5 12 15 18 22 27 1 3 7 9 19 8 10
HGS	time	data/raise/reduce/setCovers/TMCoverage.dat	5 12 15 18 22 27 4 3 13 9 24 17 16
HGS	ratio	data/raise/reduce/setCovers/TMCoverage.dat	5 12 15 18 22 27 4 3 13 9 24 17 16
DGR	coverage	data/raise/reduce/setCovers/TMCoverage.dat	1 3 5 7 17 9 10 12 15 18 19 22 27
DGR	time	data/raise/reduce/setCovers/TMCoverage.dat	1 3 5 7 17 9 10 12 15 18 19 22 27
DGR	ratio	data/raise/reduce/setCovers/TMCoverage.dat	1 3 5 7 17 9 10 12 15 18 19 22 27
