"alg" "metric" "reduceTime" "priorTime" "CE" "RFFS" "RFFT" "origExecTime" "redExecTime" "totalSize" "redSize" "app"
"2OPT" "time" 2 20 0.719337671569366 0 0 2986 2986 46 46 "JD"
"2OPT" "coverage" 22 59 0.723946976045872 0.478260869565217 0.491292699263228 2986 1519 46 24 "JD"
"2OPT" "ratio" 88 105 0.883455120197939 0.304347826086957 0.413596784996651 2986 1751 46 32 "JD"
"DGR" "time" 3 50 0.724865596879017 0.5 0.490957803081045 2986 1520 46 23 "JD"
"DGR" "coverage" 3 43 0.724865596879017 0.5 0.490957803081045 2986 1520 46 23 "JD"
"DGR" "ratio" 3 45 0.724865596879017 0.5 0.490957803081045 2986 1520 46 23 "JD"
"GRD" "time" 1 2 0.712989598120988 0 0 2986 2986 46 46 "JD"
"GRD" "coverage" 6 9 0.733842308680918 0.5 0.491962491627595 2986 1517 46 23 "JD"
"GRD" "ratio" 15 13 0.884076925677004 0.456521739130435 0.415606162089752 2986 1745 46 25 "JD"
"HGS" "time" 1 4 0.705070006648218 0.5 0.49330207635633 2986 1513 46 23 "JD"
"HGS" "coverage" 0 2 0.705157379042508 0.5 0.491627595445412 2986 1518 46 23 "JD"
"HGS" "ratio" 0 2 0.705068660263157 0.5 0.492967180174146 2986 1514 46 23 "JD"
