"alg" "metric" "reduceTime" "priorTime" "CE" "RFFS" "RFFT" "origExecTime" "redExecTime" "totalSize" "redSize" "app"
"2OPT" "time" 0 15 0.970581631327473 0.846153846153846 0.941176470588235 34 2 13 2 "LF"
"2OPT" "coverage" 1 6 0.970581631327473 0.846153846153846 0.88235294117647 34 4 13 2 "LF"
"2OPT" "ratio" 0 5 0.970581631327473 0.846153846153846 0.941176470588235 34 2 13 2 "LF"
"DGR" "time" 0 30 0.970581631327473 0.923076923076923 0.970588235294118 34 1 13 1 "LF"
"DGR" "coverage" 0 11 0.970581631327473 0.923076923076923 0.970588235294118 34 1 13 1 "LF"
"DGR" "ratio" 0 8 0.970581631327473 0.923076923076923 0.970588235294118 34 1 13 1 "LF"
"GRD" "time" 0 1 0.970581631327473 0.923076923076923 0.970588235294118 34 1 13 1 "LF"
"GRD" "coverage" 0 1 0.970581631327473 0.923076923076923 0.970588235294118 34 1 13 1 "LF"
"GRD" "ratio" 0 1 0.970581631327473 0.923076923076923 0.970588235294118 34 1 13 1 "LF"
"HGS" "time" 0 1 0.970581631327473 0.923076923076923 0.970588235294118 34 1 13 1 "LF"
"HGS" "coverage" 0 1 0.970581631327473 0.923076923076923 0.970588235294118 34 1 13 1 "LF"
"HGS" "ratio" 0 1 0.970581631327473 0.923076923076923 0.970588235294118 34 1 13 1 "LF"
