"alg" "metric" "reduceTime" "priorTime" "CE" "RFFS" "RFFT" "origExecTime" "redExecTime" "totalSize" "redSize" "app"
"2OPT" "time" 0 4 0.92573721076382 0 0 6057 6057 13 13 "RM"
"2OPT" "coverage" 1 7 0.705005356342806 0.384615384615385 0.0594353640416048 6057 5697 13 8 "RM"
"2OPT" "ratio" 1 11 0.93649892018116 0.230769230769231 0.0468878982994882 6057 5773 13 10 "RM"
"DGR" "time" 1 15 0.886229757261643 0.461538461538462 0.0670298827802542 6057 5651 13 7 "RM"
"DGR" "coverage" 1 7 0.886229757261643 0.461538461538462 0.0670298827802542 6057 5651 13 7 "RM"
"DGR" "ratio" 0 7 0.886229757261643 0.461538461538462 0.0670298827802542 6057 5651 13 7 "RM"
"GRD" "time" 0 1 0.926973836644494 0 0 6057 6057 13 13 "RM"
"GRD" "coverage" 0 0 0.798932526078522 0.461538461538462 0.0670298827802542 6057 5651 13 7 "RM"
"GRD" "ratio" 0 0 0.938013118170543 0.461538461538462 0.0670298827802542 6057 5651 13 7 "RM"
"HGS" "time" 0 1 0.740222622365939 0.461538461538462 0.0670298827802542 6057 5651 13 7 "RM"
"HGS" "coverage" 0 0 0.739855126329729 0.461538461538462 0.0647185075119696 6057 5665 13 7 "RM"
"HGS" "ratio" 0 1 0.740222622365939 0.461538461538462 0.0670298827802542 6057 5651 13 7 "RM"
