"alg" "metric" "reduceTime" "priorTime" "CE" "RFFS" "RFFT" "origExecTime" "redExecTime" "totalSize" "redSize" "app"
"2OPT" "time" 5 12 0.945869432462467 0 0 5701 5701 66 66 "RP"
"2OPT" "coverage" 22 86 0.820855614879768 0.727272727272727 0.366076126995264 5701 3614 66 18 "RP"
"2OPT" "ratio" 38 62 0.970347497863453 0.484848484848485 0.369233467812664 5701 3596 66 34 "RP"
"DGR" "time" 2 81 0.782305840201716 0.757575757575758 0.373092439922821 5701 3574 66 16 "RP"
"DGR" "coverage" 1 40 0.782305840201716 0.757575757575758 0.373092439922821 5701 3574 66 16 "RP"
"DGR" "ratio" 1 40 0.782305840201716 0.757575757575758 0.373092439922821 5701 3574 66 16 "RP"
"GRD" "time" 16 1 0.956009181117972 0 0 5701 5701 66 66 "RP"
"GRD" "coverage" 2 8 0.84782025235571 0.742424242424242 0.370987546044554 5701 3586 66 17 "RP"
"GRD" "ratio" 4 7 0.97047221101515 0.651515151515151 0.370285914751798 5701 3590 66 23 "RP"
"HGS" "time" 0 5 0.687907233353998 0.757575757575758 0.375021925977899 5701 3563 66 16 "RP"
"HGS" "coverage" 0 3 0.6876445122988 0.757575757575758 0.373092439922821 5701 3574 66 16 "RP"
"HGS" "ratio" 0 2 0.687907150287568 0.757575757575758 0.37484651815471 5701 3564 66 16 "RP"
