"alg" "metric" "reduceTime" "priorTime" "CE" "RFFS" "RFFT" "origExecTime" "redExecTime" "totalSize" "redSize" "app"
"2OPT" "time" 2 10 0.948324904941384 0 0 424 424 25 25 "SK"
"2OPT" "coverage" 2 12 0.546746472302186 0.6 0.297169811320755 424 298 25 10 "SK"
"2OPT" "ratio" 2 8 0.970707055352214 0.52 0.379716981132075 424 263 25 12 "SK"
"DGR" "time" 1 22 0.546046063021352 0.6 0.297169811320755 424 298 25 10 "SK"
"DGR" "coverage" 0 13 0.546046063021352 0.6 0.297169811320755 424 298 25 10 "SK"
"DGR" "ratio" 0 10 0.546046063021352 0.6 0.297169811320755 424 298 25 10 "SK"
"GRD" "time" 0 1 0.948324904941384 0 0 424 424 25 25 "SK"
"GRD" "coverage" 0 1 0.402574088852675 0.6 0.297169811320755 424 298 25 10 "SK"
"GRD" "ratio" 0 1 0.97086106294626 0.6 0.384433962264151 424 261 25 10 "SK"
"HGS" "time" 0 1 0.410415570168266 0.6 0.384433962264151 424 261 25 10 "SK"
"HGS" "coverage" 0 1 0.405700549697711 0.6 0.297169811320755 424 298 25 10 "SK"
"HGS" "ratio" 0 1 0.410415570168266 0.6 0.384433962264151 424 261 25 10 "SK"
