"alg" "metric" "reduceTime" "priorTime" "CE" "RFFS" "RFFT" "origExecTime" "redExecTime" "totalSize" "redSize" "app"
"2OPT" "time" 2 8 0.957836906812743 0 0 7755 7755 27 27 "TM"
"2OPT" "coverage" 2 12 0.90350595484697 0.481481481481481 0.15357833655706 7755 6564 27 14 "TM"
"2OPT" "ratio" 1 7 0.971116912275241 0.407407407407407 0.224500322372663 7755 6014 27 16 "TM"
"DGR" "time" 2 16 0.938279673736547 0.518518518518518 0.170083816892328 7755 6436 27 13 "TM"
"DGR" "coverage" 1 12 0.938279673736547 0.518518518518518 0.170083816892328 7755 6436 27 13 "TM"
"DGR" "ratio" 1 8 0.938279673736547 0.518518518518518 0.170083816892328 7755 6436 27 13 "TM"
"GRD" "time" 0 1 0.957741726629442 0 0 7755 7755 27 27 "TM"
"GRD" "coverage" 1 1 0.903970596463852 0.518518518518518 0.155254674403611 7755 6551 27 13 "TM"
"GRD" "ratio" 1 1 0.97120373271662 0.481481481481481 0.231076724693746 7755 5963 27 14 "TM"
"HGS" "time" 0 1 0.752497133361168 0.518518518518518 0.232753062540297 7755 5950 27 13 "TM"
"HGS" "coverage" 1 3 0.744971191545318 0.518518518518518 0.155254674403611 7755 6551 27 13 "TM"
"HGS" "ratio" 1 0 0.752497133361168 0.518518518518518 0.232753062540297 7755 5950 27 13 "TM"
